Date,Open,High,Low,Close,Adj Close,Volume
1977-01-01,4.781250,4.875000,4.593750,4.781250,0.234567,5998400
1977-02-01,4.781250,5.312500,4.781250,5.031250,0.246832,8478400
1977-03-01,5.031250,5.351563,4.960938,5.031250,0.246832,8081600
1977-04-01,5.031250,5.562500,5.000000,5.460938,0.267912,11734400
1977-05-01,5.460938,5.703125,5.382813,5.437500,0.266762,8598400
1977-06-01,5.437500,5.640625,5.406250,5.546875,0.272128,8654400
1977-07-01,5.546875,5.562500,4.828125,4.984375,0.244532,19596800
1977-08-01,4.984375,5.203125,4.781250,4.953125,0.242999,17347200
1977-09-01,4.953125,5.093750,4.750000,5.031250,0.246832,9048000
1977-10-01,5.031250,5.046875,4.523438,4.601563,0.225751,8534400
1977-11-01,4.593750,5.000000,4.500000,4.718750,0.231501,10681600
1977-12-01,4.656250,4.656250,4.312500,4.429688,0.217319,8388800
1978-01-01,4.421875,4.445313,3.953125,4.132813,0.202755,7782400
1978-02-01,4.148438,4.296875,3.750000,3.765625,0.184741,6460800
1978-03-01,3.765625,3.859375,3.625000,3.734375,0.183207,16100800
1978-04-01,3.726563,4.335938,3.640625,4.296875,0.210804,10952000
1978-05-01,4.343750,4.406250,3.828125,3.937500,0.193173,16968000
1978-06-01,3.937500,4.296875,3.828125,3.843750,0.188573,8278400
1978-07-01,3.875000,4.328125,3.609375,4.250000,0.208504,5604000
1978-08-01,4.250000,4.921875,4.156250,4.593750,0.225368,8693600
1978-09-01,4.593750,5.062500,4.328125,4.812500,0.236100,5586400
1978-10-01,4.812500,5.046875,4.062500,4.281250,0.210037,5628000
1978-11-01,4.281250,4.796875,4.281250,4.687500,0.229968,4694400
1978-12-01,4.703125,5.437500,4.625000,5.312500,0.260630,9746400
1979-01-01,5.281250,5.906250,5.000000,5.796875,0.284393,10876800
1979-02-01,5.796875,6.250000,5.562500,5.875000,0.288226,12078400
1979-03-01,5.875000,6.562500,5.609375,6.203125,0.304324,15252000
1979-04-01,6.187500,6.421875,6.000000,6.296875,0.308923,8756000
1979-05-01,6.312500,6.781250,5.953125,6.687500,0.328087,12000800
1979-06-01,6.687500,7.375000,6.562500,7.000000,0.343418,17949600
1979-07-01,7.000000,7.671875,7.000000,7.500000,0.367948,10427200
1979-08-01,7.500000,8.718750,7.328125,8.390625,0.411642,12692800
1979-09-01,8.359375,8.781250,7.937500,8.640625,0.423907,8590400
1979-10-01,8.640625,9.812500,8.468750,9.062500,0.444604,12862400
1979-11-01,9.062500,10.859375,9.031250,9.890625,0.485231,10541600
1979-12-01,9.906250,11.625000,9.906250,11.031250,0.541190,10168000
1980-01-01,11.015625,13.000000,9.968750,12.500000,0.613247,13200800
1980-02-01,12.500000,13.812500,12.078125,12.718750,0.623979,13133600
1980-03-01,12.718750,12.906250,9.906250,10.875000,0.533525,15112000
1980-04-01,10.875000,12.062500,10.562500,11.625000,0.570320,9912000
1980-05-01,11.625000,12.343750,10.437500,11.812500,0.579518,11333600
1980-06-01,11.812500,13.000000,11.562500,12.468750,0.611714,9378800
1980-07-01,12.468750,12.687500,10.937500,11.250000,0.551922,13211200
1980-08-01,11.250000,12.781250,11.125000,12.250000,0.600982,12083600
1980-09-01,12.250000,15.000000,12.250000,14.375000,0.705234,18563200
1980-10-01,14.625000,18.218750,14.625000,16.843750,0.826351,16755200
1980-11-01,17.031250,22.875000,17.031250,22.250000,1.091579,14776800
1980-12-01,22.250000,22.437500,17.500000,18.000000,0.883075,14022400
1981-01-01,18.000000,18.187500,14.812500,15.000000,0.735896,16037200
1981-02-01,15.000000,15.156250,13.562500,14.718750,0.722098,15405600
1981-03-01,14.718750,15.062500,12.250000,13.125000,0.643909,23193200
1981-04-01,13.125000,13.187500,11.250000,12.718750,0.623979,19347200
1981-05-01,12.718750,13.000000,11.218750,11.468750,0.562654,11888000
1981-06-01,11.468750,12.343750,10.593750,12.125000,0.594849,16880800
1981-07-01,12.125000,12.843750,11.531250,12.750000,0.625511,11670400
1981-08-01,12.750000,13.531250,10.937500,11.093750,0.544257,14289200
1981-09-01,11.093750,11.468750,9.031250,9.562500,0.469134,14776000
1981-10-01,9.562500,11.156250,9.375000,10.843750,0.531992,21384800
1981-11-01,10.875000,11.562500,10.062500,11.093750,0.544257,16394400
1981-12-01,11.093750,11.500000,10.343750,10.375000,0.508995,17630400
1982-01-01,10.250000,10.375000,8.531250,8.937500,0.438472,18765200
1982-02-01,8.843750,8.937500,7.468750,8.343750,0.409342,13936800
1982-03-01,8.312500,8.750000,7.281250,8.125000,0.398610,19035600
1982-04-01,8.343750,9.093750,8.125000,8.656250,0.424673,14050000
1982-05-01,8.625000,9.625000,8.531250,9.250000,0.453803,16997200
1982-06-01,9.281250,9.687500,7.812500,7.875000,0.386346,14218800
1982-07-01,7.843750,7.937500,6.718750,7.000000,0.343418,14951600
1982-08-01,7.156250,8.531250,6.625000,7.875000,0.386346,14208800
1982-09-01,7.718750,9.062500,7.375000,8.500000,0.417008,20890000
1982-10-01,8.593750,10.562500,8.437500,9.156250,0.449203,23533600
1982-11-01,9.000000,9.437500,7.687500,8.625000,0.423140,23139600
1982-12-01,8.500000,9.625000,7.968750,8.906250,0.436938,18114800
1983-01-01,8.906250,10.468750,8.750000,9.437500,0.463001,28612000
1983-02-01,9.187500,10.593750,8.812500,9.875000,0.484465,23433600
1983-03-01,9.937500,10.750000,9.343750,10.500000,0.515127,28806000
1983-04-01,10.750000,11.875000,10.562500,11.812500,0.579518,25051600
1983-05-01,11.656250,12.406250,11.375000,11.625000,0.570320,21926800
1983-06-01,11.531250,13.218750,11.000000,12.656250,0.620913,20428000
1983-07-01,12.687500,13.750000,11.937500,12.250000,0.600982,15156400
1983-08-01,12.156250,14.562500,12.125000,14.406250,0.706767,22391200
1983-09-01,14.250000,14.718750,12.750000,12.906250,0.633177,18160000
1983-10-01,12.750000,13.625000,12.156250,12.437500,0.610181,16255200
1983-11-01,12.437500,12.562500,11.031250,11.687500,0.573386,18948800
1983-12-01,11.718750,11.906250,10.031250,11.187500,0.548856,24970000
1984-01-01,11.125000,11.687500,10.625000,11.656250,0.571853,23412400
1984-02-01,11.687500,12.093750,10.843750,11.750000,0.576452,24795600
1984-03-01,11.812500,12.000000,10.937500,11.437500,0.561121,15242400
1984-04-01,11.406250,12.625000,11.375000,12.250000,0.600982,20990800
1984-05-01,12.093750,12.281250,11.218750,11.343750,0.556521,23814400
1984-06-01,11.437500,11.468750,10.000000,10.906250,0.535058,23510400
1984-07-01,10.906250,11.593750,10.531250,11.156250,0.547323,25990800
1984-08-01,11.156250,12.156250,11.000000,11.812500,0.579518,44345200
1984-09-01,11.750000,12.062500,11.375000,11.593750,0.568786,15144800
1984-10-01,11.562500,11.875000,10.718750,10.937500,0.536591,22014400
1984-11-01,11.000000,11.468750,10.437500,10.625000,0.521260,16358000
1984-12-01,10.593750,10.968750,10.062500,10.500000,0.515127,17736000
1985-01-01,10.500000,11.187500,9.906250,11.156250,0.547323,23107600
1985-02-01,11.062500,11.437500,10.812500,11.218750,0.550389,19232400
1985-03-01,11.218750,12.062500,11.031250,11.812500,0.579518,15259600
1985-04-01,11.812500,12.500000,11.437500,12.343750,0.605581,16954400
1985-05-01,12.343750,12.656250,11.468750,11.968750,0.587184,16131600
1985-06-01,11.968750,11.968750,11.406250,11.718750,0.574919,12569600
1985-07-01,11.718750,12.218750,10.937500,11.625000,0.570320,17208400
1985-08-01,11.562500,12.593750,11.250000,11.500000,0.564187,12237600
1985-09-01,11.531250,11.531250,10.562500,11.468750,0.562654,16256000
1985-10-01,11.500000,13.937500,11.375000,12.937500,0.634710,41796400
1985-11-01,12.875000,13.781250,12.531250,13.093750,0.642376,19264800
1985-12-01,13.000000,13.250000,12.000000,12.468750,0.611714,27924400
1986-01-01,12.437500,12.625000,10.843750,11.937500,0.585651,21452800
1986-02-01,11.937500,12.937500,10.812500,12.250000,0.600982,26908400
1986-03-01,12.250000,12.250000,10.625000,11.062500,0.542723,27288400
1986-04-01,11.031250,11.500000,10.687500,10.875000,0.533525,25083200
1986-05-01,10.875000,12.093750,10.812500,11.468750,0.562654,24123600
1986-06-01,11.468750,11.625000,10.843750,11.281250,0.553455,16232400
1986-07-01,11.250000,11.343750,10.125000,10.437500,0.512061,20764400
1986-08-01,10.437500,12.250000,10.062500,12.156250,0.596383,36505200
1986-09-01,12.156250,12.843750,10.937500,11.968750,0.587184,34144800
1986-10-01,11.906250,12.562500,11.312500,12.281250,0.602515,26280000
1986-11-01,12.250000,12.781250,11.750000,12.437500,0.610181,21128400
1986-12-01,12.375000,12.656250,11.812500,12.343750,0.605581,29534800
1987-01-01,12.343750,14.500000,12.312500,13.937500,0.683770,37504400
1987-02-01,13.875000,15.312500,13.437500,13.843750,0.679171,29124400
1987-03-01,13.906250,18.062500,13.656250,17.562500,0.861612,70156000
1987-04-01,17.562500,18.468750,17.562500,18.468750,0.932302,132518800
1987-05-01,18.468750,18.687500,18.250000,18.468750,0.932302,93438400
1987-06-01,18.468750,18.875000,18.468750,18.750000,0.946500,9837200
1987-07-01,18.750000,20.093750,17.562500,18.562500,0.937034,30680400
1987-08-01,18.843750,19.312500,17.000000,18.781250,0.948077,30203600
1987-09-01,18.875000,18.968750,17.843750,18.406250,0.929146,18224000
1987-10-01,18.375000,18.375000,12.437500,13.375000,0.684129,76313600
1987-11-01,13.312500,13.875000,12.437500,13.343750,0.682529,13914800
1987-12-01,13.312500,14.343750,12.750000,13.968750,0.714498,13769200
1988-01-01,14.375000,14.656250,13.250000,14.031250,0.717695,10834000
1988-02-01,13.875000,13.875000,13.093750,13.281250,0.679333,12671200
1988-03-01,13.312500,15.312500,13.218750,14.812500,0.785748,16995600
1988-04-01,14.750000,15.937500,14.593750,15.437500,0.818901,14206400
1988-05-01,15.250000,15.375000,14.437500,14.656250,0.777460,9502800
1988-06-01,14.718750,14.968750,13.062500,13.125000,0.696232,13130000
1988-07-01,13.000000,13.718750,12.875000,13.500000,0.716125,12382000
1988-08-01,13.500000,13.500000,12.156250,12.187500,0.646501,13226800
1988-09-01,12.250000,12.718750,12.062500,12.437500,0.669859,10802000
1988-10-01,12.250000,13.187500,12.093750,13.000000,0.700154,17438800
1988-11-01,13.000000,13.718750,13.000000,13.593750,0.732132,14382400
1988-12-01,13.531250,14.250000,13.343750,13.437500,0.723716,11245200
1989-01-01,13.875000,14.906250,13.406250,14.750000,0.794405,19800400
1989-02-01,14.656250,14.687500,14.125000,14.156250,0.762427,11671600
1989-03-01,14.125000,15.406250,13.937500,14.656250,0.789356,17701600
1989-04-01,14.687500,14.906250,13.812500,14.750000,0.933739,12397600
1989-05-01,14.687500,14.718750,13.718750,13.937500,0.882304,17882800
1989-06-01,13.906250,14.312500,13.562500,14.031250,0.954514,25650400
1989-07-01,14.187500,15.218750,14.187500,15.062500,1.024668,8681600
1989-08-01,15.031250,15.031250,13.968750,14.468750,0.984276,17106000
1989-09-01,14.468750,15.406250,14.312500,14.812500,1.078782,19332800
1989-10-01,14.781250,15.000000,13.656250,14.187500,1.033264,17324400
1989-11-01,14.250000,14.812500,14.093750,14.687500,1.069680,14934400
1989-12-01,14.718750,16.468750,14.718750,16.343750,1.272181,16826000
1990-01-01,16.437500,17.187500,15.375000,17.187500,1.337858,22058800
1990-02-01,17.343750,17.750000,17.031250,17.125000,1.332993,17573200
1990-03-01,17.062500,17.187500,15.875000,16.187500,1.260018,37808400
1990-04-01,15.750000,15.937500,14.906250,15.031250,1.248609,13516800
1990-05-01,15.062500,16.968750,15.000000,16.656250,1.383594,16035600
1990-06-01,16.812500,16.968750,16.156250,16.625000,1.474933,15968800
1990-07-01,16.812500,18.812500,16.718750,18.625000,1.652368,23544000
1990-08-01,18.812500,21.562500,18.781250,20.531250,1.821487,30851200
1990-09-01,20.562500,21.218750,19.062500,19.312500,1.819131,9782800
1990-10-01,19.562500,21.125000,19.343750,19.375000,1.825018,16542800
1990-11-01,19.312500,20.437500,19.031250,20.062500,1.889776,10978800
