Date,Open,High,Low,Close,Adj Close,Volume
1990-03-01,8.250000,9.000000,7.875000,8.625000,4.591949,13500
1990-04-01,7.875000,8.625000,7.125000,7.125000,3.793349,16100
1990-05-01,7.125000,9.000000,6.750000,6.937500,3.693524,35300
1990-06-01,6.562500,7.875000,6.000000,6.000000,3.433233,39300
1990-07-01,6.375000,6.750000,5.250000,5.250000,3.004079,18000
1990-08-01,5.250000,6.750000,5.250000,5.625000,3.218656,27400
1990-09-01,5.625000,6.750000,5.625000,6.000000,3.433233,15900
1990-10-01,5.625000,6.000000,4.875000,4.875000,2.789502,20400
1990-11-01,5.625000,5.625000,3.375000,4.125000,2.360348,40900
1990-12-01,4.125000,4.875000,3.750000,4.312500,2.467636,81900
1991-01-01,4.125000,4.875000,4.125000,4.125000,2.360348,23600
1991-02-01,4.500000,4.500000,4.125000,4.500000,2.574925,15700
1991-03-01,4.500000,4.500000,3.750000,4.125000,2.360348,21700
1991-04-01,4.125000,4.875000,4.125000,4.312500,2.467636,46100
1991-05-01,4.312500,4.875000,4.312500,4.312500,2.467636,67200
1991-06-01,4.312500,4.875000,4.312500,4.312500,2.467636,24700
1991-07-01,4.312500,4.875000,4.312500,4.312500,2.467636,28500
1991-08-01,4.312500,4.687500,3.750000,3.750000,2.145771,22500
1991-09-01,4.500000,4.500000,3.750000,3.937500,2.253059,25600
1991-10-01,4.500000,4.875000,4.125000,4.875000,2.789502,86400
1991-11-01,4.125000,4.875000,4.125000,4.125000,2.360348,57200
1991-12-01,4.500000,4.875000,4.125000,4.125000,2.649370,43200
1992-01-01,4.125000,4.500000,4.125000,4.500000,2.890222,26900
1992-02-01,4.218750,4.500000,4.125000,4.125000,2.649370,60000
1992-03-01,4.125000,4.500000,4.125000,4.125000,2.943744,56100
1992-04-01,4.125000,4.968750,3.750000,3.937500,2.809938,87000
1992-05-01,4.500000,4.500000,3.937500,3.937500,2.809938,23800
1992-06-01,3.937500,4.500000,3.937500,4.125000,3.082748,18800
1992-07-01,4.125000,4.687500,3.937500,4.125000,3.082748,16000
1992-08-01,4.125000,4.687500,3.937500,4.312500,3.222873,14800
1992-09-01,4.312500,4.687500,3.937500,4.500000,3.521799,35200
1992-10-01,4.500000,4.687500,4.312500,4.500000,3.521799,47000
1992-11-01,4.500000,4.875000,4.500000,4.875000,3.815283,22600
1992-12-01,4.875000,4.875000,4.500000,4.687500,3.826712,47200
1993-01-01,4.687500,5.062500,4.687500,4.875000,3.979780,42500
1993-02-01,5.062500,5.062500,4.687500,4.687500,3.826712,12400
1993-03-01,4.687500,6.000000,4.687500,5.062500,4.296787,40000
1993-04-01,5.437500,8.812500,5.062500,7.687500,6.524751,76900
1993-05-01,8.062500,8.062500,4.312500,6.562500,5.569910,27500
1993-06-01,6.562500,7.312500,6.000000,6.000000,5.092489,17200
1993-07-01,6.000000,7.125000,6.000000,6.187500,5.251629,59800
1993-08-01,6.750000,7.125000,6.375000,6.375000,5.410769,11600
1993-09-01,6.375000,7.125000,6.375000,6.375000,5.555805,19000
1993-10-01,6.375000,7.125000,6.375000,7.125000,6.209429,6500
1993-11-01,7.125000,7.500000,6.375000,7.500000,6.536242,24100
1993-12-01,6.937500,9.187500,6.937500,8.250000,7.405945,45900
1994-01-01,8.250000,9.562500,8.250000,8.812500,7.910895,39100
1994-02-01,9.000000,9.000000,7.500000,7.781250,6.985153,16800
