"Date","Price","Open","High","Low","Vol.","Change %"
"May 20","317.67","313.00","319.57","287.95","384.47M","1.49%"
"Apr 20","313.00","239.56","320.54","224.93","700.31M","30.66%"
"Mar 20","239.56","373.35","390.45","185.91","612.77M","-35.84%"
"Feb 20","373.35","441.78","455.12","353.97","7.13B","-15.49%"
"Jan 20","441.78","498.54","508.45","439.43","6.51B","-11.39%"
"Dec 19","498.54","469.41","503.17","460.98","6.12B","6.21%"
"Nov 19","469.41","465.81","497.05","463.19","6.55B","0.77%"
"Oct 19","465.81","477.30","482.98","448.72","6.22B","-2.41%"
"Sep 19","477.30","459.80","509.58","450.17","8.67B","3.81%"
"Aug 19","459.80","506.18","506.18","443.73","8.94B","-9.16%"
"Jul 19","506.18","517.83","526.25","498.09","7.99B","-2.25%"
"Jun 19","517.83","475.91","518.91","475.91","7.63B","8.81%"
"May 19","475.91","540.39","541.57","475.36","9.76B","-11.93%"
"Apr 19","540.39","541.61","563.69","537.02","7.82B","-0.23%"
"Mar 19","541.61","529.83","552.29","513.44","7.55B","2.22%"
"Feb 19","529.83","521.88","544.61","503.87","7.44B","1.52%"
"Jan 19","521.88","468.47","525.22","459.09","8.73B","11.40%"
"Dec 18","468.47","540.37","556.18","435.90","9.74B","-13.31%"
"Nov 18","540.37","556.61","582.68","520.06","8.92B","-2.92%"
"Oct 18","556.61","630.61","651.86","533.74","8.66B","-11.73%"
"Sep 18","630.61","615.04","640.79","590.17","6.32B","2.53%"
"Aug 18","615.04","637.36","637.36","591.61","6.69B","-3.50%"
"Jul 18","637.36","629.96","648.05","613.56","6.25B","1.17%"
"Jun 18","629.96","626.37","637.42","606.37","7.87B","0.57%"
"May 18","626.37","608.10","654.70","597.15","8.40B","3.00%"
"Apr 18","608.10","556.00","615.80","534.95","7.53B","9.37%"
"Mar 18","556.00","545.22","568.74","536.60","7.81B","1.98%"
"Feb 18","545.22","613.30","620.27","526.10","8.56B","-11.10%"
"Jan 18","613.30","594.11","643.49","594.11","7.66B","3.23%"
"Dec 17","594.11","565.69","598.51","558.08","6.38B","5.02%"
"Nov 17","565.69","557.09","578.74","547.33","7.17B","1.54%"
"Oct 17","557.09","561.67","565.46","542.98","7.38B","-0.82%"
"Sep 17","561.67","510.67","565.11","509.51","7.27B","9.99%"
"Aug 17","510.67","542.27","545.36","500.37","8.00B","-5.83%"
"Jul 17","542.27","529.87","546.91","515.85","7.65B","2.34%"
"Jun 17","529.87","532.76","548.51","518.51","10.03B","-0.54%"
"May 17","532.76","556.41","563.84","529.31","8.88B","-4.25%"
"Apr 17","556.41","575.69","588.55","550.50","7.00B","-3.35%"
"Mar 17","575.69","582.28","596.45","555.98","8.73B","-1.13%"
"Feb 17","582.28","599.32","606.94","576.08","7.31B","-2.84%"
"Jan 17","599.32","620.20","632.68","593.56","7.37B","-3.37%"
"Dec 16","620.20","610.35","643.01","609.29","7.18B","1.61%"
"Nov 16","610.35","562.14","615.30","549.84","2.26B","8.58%"
"Oct 16","562.14","582.57","594.17","561.20","2.03B","-3.51%"
"Sep 16","582.57","565.01","590.43","544.11","2.45B","3.11%"
"Aug 16","565.01","560.43","584.65","536.60","2.16B","0.82%"
