Date,Open,High,Low,Close,Adj Close,Volume
1984-03-01,0.000000,1.750914,1.598660,1.598660,0.000064,5600
1984-04-01,0.000000,1.674787,1.579628,1.579628,0.000064,20000
1984-05-01,1.579628,1.655755,1.465438,1.513018,0.000061,832800
1984-06-01,0.000000,1.731882,1.560597,1.655755,0.000067,130400
1984-07-01,1.655755,1.741398,1.636724,1.665271,0.000067,63200
1984-08-01,1.665271,1.922199,1.665271,1.855588,0.000075,76000
1984-09-01,0.000000,1.960262,1.846072,1.884135,0.000076,40000
1984-10-01,1.884135,1.884135,1.769945,1.798493,0.000072,37600
1984-11-01,0.000000,1.903167,1.808009,1.827040,0.000073,92000
1984-12-01,1.827040,2.074452,1.827040,1.979294,0.000080,109600
1985-01-01,0.000000,2.045904,1.941230,1.979294,0.000080,17600
1985-02-01,1.979294,1.998325,1.827040,1.836556,0.000074,98400
1985-03-01,1.836556,2.122031,1.827040,2.045904,0.000099,219200
1985-04-01,0.000000,2.102999,1.979294,2.036389,0.000098,152000
1985-05-01,2.036389,2.169610,2.036389,2.131547,0.000103,36800
1985-06-01,2.131547,2.321864,2.131547,2.283800,0.000132,280000
1985-07-01,2.283800,2.436054,2.283800,2.378959,0.000137,137600
1985-08-01,0.000000,2.436054,2.302832,2.302832,0.000133,224800
1985-09-01,2.302832,2.455085,2.302832,2.436054,0.000163,283200
1985-10-01,0.000000,2.378959,2.312348,2.378959,0.000159,35200
1985-11-01,0.000000,2.512180,2.436054,2.455085,0.000164,311200
1985-12-01,2.455085,2.474117,2.312348,2.359927,0.000186,235200
1986-01-01,0.000000,2.340895,2.217189,2.217189,0.000174,34400
1986-02-01,2.217189,2.217189,2.017357,2.074452,0.000163,298400
1986-03-01,2.074452,2.264769,2.074452,2.236221,0.000210,384000
1986-04-01,0.000000,2.493149,2.264769,2.378959,0.000223,499200
1986-05-01,2.378959,2.493149,2.378959,2.417022,0.000227,40000
1986-06-01,2.417022,2.455085,2.340895,2.340895,0.000258,102400
1986-07-01,2.340895,2.407506,2.264769,2.302832,0.000254,255200
1986-08-01,2.302832,2.302832,2.083968,2.179126,0.000240,172800
1986-09-01,0.000000,2.312348,2.226705,2.245737,0.000294,208800
1986-10-01,2.245737,2.274284,2.122031,2.188642,0.000286,134400
1986-11-01,0.000000,2.169610,2.093483,2.169610,0.000284,64800
1986-12-01,2.169610,2.226705,2.093483,2.160094,0.000339,126400
1987-01-01,2.160094,2.607339,2.160094,2.607339,0.000409,140800
1987-02-01,0.000000,2.721529,2.502664,2.502664,0.000392,268000
1987-03-01,2.502664,2.854750,2.493149,2.769108,0.000505,120800
1987-04-01,2.769108,2.892814,2.769108,2.797655,0.000511,110400
1987-05-01,2.797655,2.892814,2.664434,2.835719,0.000518,59200
1987-06-01,0.000000,2.930877,2.740560,2.873782,0.000606,166400
1987-07-01,2.873782,3.178289,2.873782,3.016520,0.000636,84800
1987-08-01,0.000000,3.178289,2.987972,3.149741,0.000664,192800
1987-09-01,3.149741,3.149741,2.902329,2.911845,0.000703,77600
1987-10-01,2.911845,2.911845,2.436054,2.436054,0.000588,219200
1987-11-01,2.436054,2.483633,2.340895,2.483633,0.000600,98400
1987-12-01,2.483633,2.531212,2.436054,2.531212,0.000726,36800
1988-01-01,2.531212,2.635886,2.502664,2.512180,0.000720,40800
1988-02-01,2.512180,2.750076,2.502664,2.750076,0.000789,42400
1988-03-01,2.750076,2.797655,2.702497,2.759592,0.000943,64000
1988-04-01,2.759592,3.007004,2.759592,2.978456,0.001018,494400
1988-05-01,2.978456,2.978456,2.854750,2.911845,0.000995,81600
1988-06-01,2.911845,2.987972,2.911845,2.940393,0.001167,472000
1988-07-01,2.940393,3.083130,2.892814,3.016520,0.001197,49600
1988-08-01,3.016520,3.016520,2.902329,2.921361,0.001159,112000
1988-09-01,0.000000,2.930877,2.854750,2.892814,0.001330,40800
1988-10-01,2.892814,2.892814,2.645402,2.645402,0.001216,141600
1988-11-01,0.000000,2.721529,2.531212,2.597823,0.001194,476800
1988-12-01,0.000000,2.740560,2.664434,2.740560,0.001499,83200
1989-01-01,2.740560,2.949909,2.712013,2.949909,0.001613,360800
1989-02-01,2.949909,3.026035,2.854750,2.892814,0.001582,49600
1989-03-01,2.892814,2.949909,2.864266,2.864266,0.001826,32000
1989-04-01,2.864266,2.968940,2.864266,2.968940,0.001893,108000
1989-05-01,2.968940,2.968940,2.892814,2.959424,0.001887,39200
1989-06-01,2.959424,3.083130,2.959424,3.045067,0.002260,136000
1989-07-01,3.045067,3.187804,3.045067,3.187804,0.002366,128000
1989-08-01,3.187804,3.254415,3.121194,3.121194,0.002317,71200
1989-09-01,3.121194,3.121194,3.007004,3.045067,0.002603,53600
1989-10-01,3.045067,3.140225,3.045067,3.102162,0.002652,114400
1989-11-01,0.000000,3.140225,2.816687,2.816687,0.002408,1056000
1989-12-01,0.000000,2.911845,2.835719,2.883298,0.002867,340000
1990-01-01,0.000000,2.911845,2.797655,2.873782,0.002857,95200
1990-02-01,2.873782,2.930877,2.873782,2.930877,0.002914,13600
1990-03-01,2.930877,5.046880,2.930877,5.046880,0.005882,159200
1990-04-01,3.121194,3.121194,2.873782,2.873782,0.003349,95200
1990-05-01,2.873782,3.073615,2.873782,3.026035,0.003527,45600
1990-06-01,3.026035,3.197320,3.026035,3.197320,0.004382,123200
1990-07-01,3.197320,3.273447,3.197320,3.197320,0.004382,31200
1990-08-01,3.273447,3.292479,3.187804,3.187804,0.004369,160800
1990-09-01,3.187804,3.216352,3.140225,3.216352,0.005087,344800
1990-10-01,3.216352,3.216352,3.140225,3.159257,0.004997,79200
1990-11-01,3.159257,3.197320,3.121194,3.140225,0.004966,2676800
1990-12-01,3.159257,3.197320,3.083130,3.121194,0.005707,236000
1991-01-01,3.168773,3.197320,3.026035,3.064099,0.005602,173600
1991-02-01,3.064099,3.197320,3.007004,3.159257,0.005776,780000
1991-03-01,3.159257,3.216352,3.159257,3.216352,0.006853,86400
1991-04-01,3.178289,3.197320,3.083130,3.121194,0.006650,320000
1991-05-01,3.121194,3.156250,3.062500,3.109375,0.006625,97600
1991-06-01,3.109375,3.312500,3.109375,3.250000,0.008968,84000
1991-07-01,3.250000,3.281250,3.203125,3.234375,0.008925,25600
1991-08-01,3.218750,3.375000,3.187500,3.218750,0.008882,77600
1991-09-01,3.265625,3.406250,3.218750,3.406250,0.010896,50400
1991-10-01,3.359375,3.500000,3.312500,3.343750,0.010696,137600
1991-11-01,3.343750,3.468750,3.343750,3.437500,0.010996,33600
1991-12-01,3.437500,3.593750,3.421875,3.593750,0.013261,20000
1992-01-01,3.593750,3.593750,2.937500,3.000000,0.011070,58400
1992-02-01,2.937500,3.062500,2.875000,2.953125,0.011090,64800
1992-03-01,3.031250,3.031250,2.625000,2.718750,0.011845,24000
1992-04-01,2.718750,2.718750,2.593750,2.718750,0.011845,82400
1992-05-01,2.640625,2.718750,2.562500,2.609375,0.011369,104000
1992-06-01,2.609375,2.656250,2.484375,2.562500,0.013871,21600
1992-07-01,2.562500,2.687500,2.562500,2.687500,0.014548,204000
1992-08-01,2.687500,2.718750,2.640625,2.640625,0.014294,98400
1992-09-01,2.593750,2.687500,2.531250,2.531250,0.016194,55200
1992-10-01,2.500000,2.531250,2.406250,2.468750,0.015794,237600
1992-11-01,2.468750,2.562500,2.187500,2.187500,0.013995,365600
1992-12-01,2.250000,2.343750,2.125000,2.218750,0.016812,1270400
1993-01-01,2.218750,2.437500,2.171875,2.437500,0.018470,356800
1993-02-01,2.484375,2.531250,2.281250,2.515625,0.019062,324000
1993-03-01,2.531250,2.656250,2.468750,2.531250,0.022899,185600
1993-04-01,2.531250,2.750000,2.531250,2.750000,0.024878,217600
1993-05-01,2.750000,2.828125,2.656250,2.750000,0.024878,108800
1993-06-01,2.750000,2.812500,2.656250,2.734375,0.028814,76000
1993-07-01,2.687500,2.968750,2.687500,2.921875,0.030790,296000
1993-08-01,2.921875,3.031250,2.687500,2.687500,0.028320,381600
1993-09-01,2.656250,2.812500,2.625000,2.812500,0.034031,57600
1993-10-01,2.812500,2.937500,2.656250,2.812500,0.034031,164800
1993-11-01,2.875000,3.000000,2.812500,2.906250,0.035165,160000
1993-12-01,3.000000,3.125000,2.906250,3.000000,0.041741,133600
1994-01-01,3.000000,3.125000,3.000000,3.125000,0.043480,52000
