Date,Open,High,Low,Close,Adj Close,Volume
1970-06-01,5.550764,5.675035,5.157239,5.177951,0.182114,1660100
1970-07-01,5.177951,5.302222,4.970833,5.157239,0.181386,2290700
1970-08-01,5.157239,5.281510,4.867274,5.240087,0.184300,2313800
1970-09-01,5.240087,5.385069,4.991545,5.364357,0.192379,2646200
1970-10-01,5.302222,5.509340,4.887986,4.929410,0.176781,3350300
1970-11-01,4.929410,5.157239,4.660156,4.805139,0.175826,3437300
1970-12-01,4.805139,5.509340,4.805139,5.405781,0.197804,4336700
1971-01-01,5.385069,5.695746,5.322934,5.467916,0.200078,3685900
1971-02-01,5.467916,5.675035,5.136528,5.219375,0.190984,3339700
1971-03-01,5.219375,5.675035,5.136528,5.467916,0.203783,3674100
1971-04-01,5.467916,5.944288,5.385069,5.757882,0.214590,3998700
1971-05-01,5.737170,5.861441,5.467916,5.488628,0.204555,2210600
1971-06-01,5.488628,5.550764,5.074392,5.467916,0.203783,2474800
1971-07-01,5.467916,5.509340,4.618732,4.660156,0.173679,4869200
1971-08-01,4.784427,5.716458,4.556597,5.343646,0.199152,7708500
1971-09-01,5.343646,5.530052,4.805139,4.908698,0.185581,2226000
1971-10-01,4.908698,5.240087,4.494462,4.494462,0.169920,2631400
1971-11-01,4.494462,4.701580,4.142361,4.473750,0.171611,4300100
1971-12-01,4.473750,5.281510,4.453038,5.012257,0.192268,5132300
1972-01-01,5.032969,5.488628,5.032969,5.322934,0.204185,2985200
1972-02-01,5.322934,5.654323,5.240087,5.467916,0.209747,2664600
1972-03-01,5.467916,5.571476,5.219375,5.550764,0.212925,2940400
1972-04-01,5.550764,5.675035,5.032969,5.260798,0.201802,3222100
1972-05-01,5.260798,5.447205,4.970833,4.991545,0.191473,2739800
1972-06-01,4.991545,5.115816,4.887986,4.929410,0.191503,1905000
1972-07-01,4.929410,5.012257,4.598021,4.639444,0.180238,1785500
1972-08-01,4.639444,5.177951,4.577309,4.887986,0.192597,3324800
1972-09-01,4.908698,5.074392,4.701580,4.825850,0.190148,1777500
1972-10-01,4.825850,4.887986,4.535885,4.639444,0.182804,2784300
1972-11-01,4.639444,5.757882,4.639444,5.571476,0.219528,6108700
1972-12-01,5.571476,5.675035,5.053680,5.053680,0.201923,3388500
1973-01-01,5.136528,5.633611,5.032969,5.240087,0.209371,3447600
1973-02-01,5.240087,5.260798,4.805139,5.012257,0.200268,4183000
1973-03-01,5.012257,5.571476,4.867274,5.488628,0.222204,3106700
1973-04-01,5.467916,5.757882,5.198663,5.426493,0.219688,3620100
1973-05-01,5.426493,5.799305,4.867274,5.053680,0.207115,3789000
1973-06-01,5.053680,5.302222,4.701580,5.053680,0.207115,2291700
1973-07-01,5.012257,5.115816,4.722291,4.743003,0.194383,2314500
1973-08-01,4.743003,4.970833,4.432326,4.908698,0.201173,2646400
1973-09-01,4.908698,5.633611,4.867274,5.385069,0.223824,3388000
1973-10-01,5.385069,6.213542,5.322934,6.006423,0.249650,8578500
