Date,Open,High,Low,Close,Adj Close,Volume
1980-06-01,0.000000,8.311745,6.008924,7.394214,0.272932,10012700
1980-07-01,0.000000,8.392703,7.016407,7.637090,0.281897,8784200
1980-08-01,0.000000,9.040371,7.205311,9.040371,0.333694,4823800
1980-09-01,0.000000,9.876943,8.500648,9.229275,0.340667,3275600
1980-10-01,0.000000,13.088299,9.148316,11.550086,0.426331,6486300
1980-11-01,0.000000,13.816926,11.118307,12.683506,0.468168,4938100
1980-12-01,0.000000,12.683506,9.364205,10.794474,0.398441,4877200
1981-01-01,0.000000,11.118307,9.094344,9.148316,0.337678,3902400
1981-02-01,0.000000,9.175303,7.772021,8.392703,0.309787,5645100
1981-03-01,0.000000,8.743524,7.124352,7.286270,0.268947,11130800
1981-04-01,0.000000,7.394214,6.044905,6.908463,0.255002,10339400
1981-05-01,0.000000,7.610104,6.422711,6.530656,0.241057,5270700
1981-06-01,0.000000,7.448186,6.125864,6.989421,0.257990,4239600
1981-07-01,0.000000,8.068869,6.476684,7.745035,0.285881,4556800
1981-08-01,0.000000,8.635578,7.016407,7.448186,0.274924,4779600
1981-09-01,0.000000,7.394214,5.613126,6.152850,0.227111,3319100
1981-10-01,0.000000,7.232297,6.071891,7.178325,0.264963,3075500
1981-11-01,0.000000,7.745035,6.719560,7.664076,0.282893,3191800
1981-12-01,0.000000,7.610104,6.638601,6.638601,0.245041,2362400
1982-01-01,0.000000,6.746546,5.397237,5.829016,0.215158,4309000
1982-02-01,0.000000,5.775043,4.371762,4.479706,0.165353,3503500
1982-03-01,0.000000,4.533679,3.724093,4.020941,0.148419,5467400
1982-04-01,0.000000,4.830527,3.912997,4.533679,0.167345,3963600
1982-05-01,0.000000,5.343264,4.425734,4.884499,0.180294,4757600
1982-06-01,0.000000,5.127375,4.236831,4.317789,0.159376,2833700
1982-07-01,0.000000,4.344776,3.778066,3.993955,0.147423,3196500
1982-08-01,0.000000,4.911485,3.346287,4.452720,0.164357,4904100
1982-09-01,0.000000,5.451209,4.236831,4.803541,0.177306,3989500
1982-10-01,0.000000,5.990932,4.776555,4.965458,0.183283,5704000
1982-11-01,0.000000,5.640112,4.398748,4.749568,0.175314,4499300
1982-12-01,0.000000,5.289292,4.695596,5.019430,0.185275,5342000
1983-01-01,0.000000,5.721071,4.857513,5.019430,0.185275,4024300
1983-02-01,0.000000,5.451209,4.533679,4.641623,0.171330,3982200
1983-03-01,0.000000,5.478195,4.371762,5.424223,0.200216,4322800
1983-04-01,5.478200,6.071891,5.316278,5.802030,0.214162,8199200
1983-05-01,5.856002,6.611615,5.775043,6.422711,0.237072,3226100
1983-06-01,6.368739,7.016407,5.613126,6.719560,0.250224,4451500
1983-07-01,6.773532,7.259283,6.314767,7.016407,0.261278,3330900
1983-08-01,6.962435,8.392703,6.908463,7.799007,0.290421,6384000
1983-09-01,7.799007,7.933938,6.962435,7.286270,0.273315,5587800
1983-10-01,7.340242,7.394214,6.476684,6.665587,0.250033,4124800
1983-11-01,6.557642,7.205311,6.449698,6.935449,0.260155,3686000
1983-12-01,6.908463,6.962435,5.882988,6.368739,0.240824,4572800
1984-01-01,6.341753,7.340242,6.152850,7.124352,0.269396,6031600
1984-02-01,7.097366,7.987910,6.908463,7.852979,0.296948,5929400
1984-03-01,7.933938,7.960924,7.016407,7.799007,0.305346,5019900
1984-04-01,7.825993,8.311745,7.610104,8.041883,0.314855,4971000
1984-05-01,7.987910,8.068869,6.773532,6.881477,0.269422,4646700
1984-06-01,6.827504,7.394214,6.692574,7.070380,0.286756,3290700
1984-07-01,7.124352,7.124352,5.289292,5.316278,0.215615,4170100
1984-08-01,5.370250,6.935449,5.343264,6.719560,0.272528,8234400
1984-09-01,6.719560,7.178325,6.584629,6.692574,0.283035,2185300
1984-10-01,6.692574,6.962435,5.829016,6.098877,0.257928,4333400
1984-11-01,6.125864,6.584629,5.829016,5.936960,0.251080,3615400
1984-12-01,5.882988,6.017919,5.343264,5.613126,0.247258,3395500
1985-01-01,5.559154,6.098877,5.073402,6.017919,0.265089,6393900
1985-02-01,6.017919,6.530656,5.936960,6.260795,0.275788,6103400
1985-03-01,6.287781,6.530656,6.125864,6.476684,0.296954,3604000
