Date,Open,High,Low,Close,Adj Close,Volume
1973-06-01,0.000000,50.000000,37.500000,46.875000,40.032730,800
1973-07-01,46.875000,50.000000,43.750000,43.750000,37.363873,400
1973-08-01,0.000000,50.000000,43.750000,43.750000,37.363873,500
1973-09-01,0.000000,50.000000,43.750000,50.000000,42.701584,900
1973-10-01,0.000000,53.125000,43.750000,43.750000,37.363873,600
1973-11-01,0.000000,53.125000,34.375000,43.750000,37.363873,1400
1973-12-01,0.000000,43.750000,31.250000,37.500000,32.026184,1600
1974-01-01,37.500000,62.500000,37.500000,59.375000,50.708122,1600
1974-02-01,0.000000,62.500000,50.000000,59.375000,50.708122,1100
1974-03-01,0.000000,62.500000,53.125000,62.500000,53.376968,1400
1974-04-01,0.000000,62.500000,46.875000,50.000000,42.701584,900
1974-05-01,0.000000,56.250000,46.875000,46.875000,40.032730,1000
1974-06-01,0.000000,50.000000,43.750000,46.875000,40.032730,1200
1974-07-01,0.000000,50.000000,37.500000,43.750000,37.363873,1900
1974-08-01,0.000000,46.875000,37.500000,40.625000,34.695030,1000
1974-09-01,0.000000,50.000000,34.375000,43.750000,37.363873,1800
1974-10-01,0.000000,46.875000,40.625000,43.750000,37.363873,700
1974-11-01,0.000000,65.625000,40.625000,46.875000,40.032730,3400
1974-12-01,0.000000,59.375000,40.625000,46.875000,40.032730,2400
1975-01-01,0.000000,59.375000,43.750000,53.125000,45.370426,1000
1975-02-01,0.000000,53.125000,46.875000,46.875000,40.032730,1300
1975-03-01,0.000000,50.000000,40.625000,43.750000,37.363873,2600
1975-04-01,0.000000,53.125000,43.750000,53.125000,45.370426,2100
1975-05-01,0.000000,71.875000,50.000000,65.625000,56.045830,10200
1975-06-01,0.000000,87.500000,62.500000,75.000000,64.052368,9600
1975-07-01,0.000000,84.375000,71.875000,78.125000,66.721199,4700
1975-08-01,0.000000,78.125000,56.250000,59.375000,50.708122,2200
1975-09-01,0.000000,62.500000,53.125000,56.250000,48.039280,1500
1975-10-01,0.000000,65.625000,53.125000,56.250000,48.039280,1700
1975-11-01,0.000000,62.500000,53.125000,53.125000,45.370426,1100
1975-12-01,0.000000,59.375000,50.000000,56.250000,48.039280,2100
1976-01-01,0.000000,62.500000,53.125000,59.375000,50.708122,2100
1976-02-01,0.000000,71.875000,59.375000,68.750000,58.714672,3100
1976-03-01,0.000000,68.750000,62.500000,62.500000,53.376968,1800
1976-04-01,0.000000,62.500000,56.250000,59.375000,50.708122,1300
1976-05-01,0.000000,62.500000,56.250000,59.375000,50.708122,1400
1976-06-01,0.000000,65.625000,53.125000,59.375000,50.708122,1700
1976-07-01,0.000000,59.375000,56.250000,59.375000,50.708122,800
1976-08-01,0.000000,62.500000,50.000000,56.250000,48.039280,2100
1976-09-01,0.000000,56.250000,50.000000,53.125000,45.370426,1000
1976-10-01,0.000000,56.250000,50.000000,53.125000,45.370426,700
1976-11-01,0.000000,56.250000,50.000000,56.250000,48.039280,900
1976-12-01,0.000000,65.625000,53.125000,59.375000,50.708122,3500
1977-01-01,0.000000,68.750000,50.000000,65.625000,56.045830,3200
1977-02-01,0.000000,75.000000,62.500000,71.875000,61.383518,3800
